List of Countries in Both,Geoscheme,cregion,WHO Region,Iso,Date of first vaccination reported in country,Dates in date form,sixmoup,Date of 6 Month Data (dd-mm-yy),number of days from expected 6 month date,ninemoup,Date of 9 Month Data (dd-mm-yy),number of days from expected 9 month date,twelvemoup,Date of 12 Month Data (dd-mm-yy),Date12,number of days from expected 12 month date,fiftmoup,Date of 15 Month Data (dd-mm-yy),number of days from expected 15 month date,libdem,vscore,vscoren,Donated Vaccines of Chinese Origin,Population,All Donated Vaccines,Donated Chinese Vaccines Per Capita,dvaxpc,percChinese,ruralperc,Correlates of War Country Code,gdp,loggdp,gdppc,loggdppc,totalaid,logaid,vaxprio12,vaxavail12,vaxfin12,vaxman12,vaxprio9,vaxavail9,vaxfin9,vaxman9,vaxprio6,vaxavail6,vaxfin6,vaxman6
Peru,South America,Americas,AMR,PER,44236,09-02-21,26.75,44416,0,60.08,44506,0,77.83,44596,04-02-22,0,86.02,44686,0,0.693,3.846477,0.866510672,"1,000,000",32824861,"3,314,060",0.0305,0.101,0.301745,21.901,135,2.28326E+11,11.36,6955.88,3.842352133,489,2.689308859,2,3,5,0,2,2,5,NA,1,1,5,NA
Philippines,South-eastern Asia,Asia,WPRO,PHL,44259,04-03-21,21.8,44448,9,48.56,44532,3,59.42,44616,24-02-22,-3,64.59,44717,8,0.297,-15.2964,0.552693171,"7,025,000",110380804,"128,000,000",0.0636,1.1596,0.054932,52.851,840,3.76823E+11,11.58,3413.85,3.533244313,1456,3.163161375,2,3,5,1,2,3,5,1,2,1,5,NA
South Korea,Eastern Asia,Asia,WPRO,KOR,44253,26-02-21,52.11,44433,0,81.29,44523,0,85.89,44613,21-02-22,0,86.27,44703,0,0.791,10.98933,0.983606565,0,51764822,"1,862,800",0,0.036,0,18.57,732,1.65142E+12,12.22,31902.42,4.503823586,0,0,2,3,5,0,2,3,5,NA,2,2,5,0
Moldova,Eastern Europe,Europe,EUR,MDA,44260,05-03-21,17.14,44414,-26,30.24,44535,5,33.03,44626,06-03-22,6,33.1,44633,-77,0.463,6.560762,0.911007126,"150,000",2664224,"2,542,190",0.0563,0.9542,0.059004,57.274,359,11735774634,10.07,4404.95,3.643941025,524,2.719331287,2,3,5,0,2,3,5,0,1,1,5,NA
Rwanda,Eastern Africa,Africa,AFRO,RWA,44260,05-03-21,10.99,44437,-3,34.66,44511,-19,64.57,44616,24-02-22,-4,65.77,44710,0,0.127,10.84648,0.981264763,"500,000",12835028,"23,737,950",0.039,1.8495,0.021063,82.687,517,10346326599,10.01,806.1,2.906389363,1625,3.210853365,2,3,5,0,2,2,5,NA,2,2,5,NA
Senegal,Western Africa,Africa,AFRO,SEN,44251,24-02-21,6.63,44433,2,7.6,44522,1,8.31,44610,18-02-22,-1,8.41,44635,-66,0.575,6.989334,0.918032893,"300,000",16000781,"5,769,940",0.0187,0.3606,0.051994,52.347,433,23403995992,10.37,1462.68,3.165148834,1612,3.207365037,2,2,5,0,2,2,5,0,2,2,5,0
Serbia,Southern Europe,Europe,EUR,SRB,44204,08-01-21,39.72,44382,-2,44.44,44474,0,48.26,44562,01-01-22,-2,48.71,44642,-12,0.288,8.846477,0.948477845,"25,850,000",6945235,"26,812,400",3.722,3.8605,0.964106,43.74,345,51514242939,10.71,7417.21,3.870240377,488,2.688419822,2,3,4,0,2,3,4,0,2,2,5,NA
Seychelles,Eastern Africa,Africa,AFRO,SYC,44209,13-01-21,66.73,44382,-7,75.23,44484,5,77.86,44579,18-01-22,10,78.71,44638,-21,0.537,11.84648,0.997658198,"25,000",97625,"329,820",0.2561,3.3784,0.075799,42.881,591,1645090567,9.22,16851.12,4.226628765,0,0,2,3,5,0,2,2,5,NA,2,1,5,NA
Sierra Leone,Western Africa,Africa,AFRO,SLE,44280,25-03-21,2.2,44466,6,8.68,44572,22,20.07,44635,15-03-22,-5,27.7,44731,1,0.386,5.132191,0.887587941,"200,000",8046828,"9,736,580",0.0249,1.21,0.020541,57.516,451,4076578699,9.61,506.61,2.704671112,841,2.924795996,2,3,5,1,2,2,5,1,2,2,5,NA
Slovakia,Eastern Europe,Europe,EUR,SVK,44199,03-01-21,37.83,44381,2,43.87,44472,3,45.04,44563,02-01-22,4,45.95,44647,-2,0.748,10.66063,0.978218044,0,5454147,"15,000",0,0.0028,0,46.271,317,1.05712E+11,11.02,19381.89,4.287396137,0,0,2,3,5,0,2,3,5,NA,2,3,5,NA
Solomon Islands,Melanesia,Oceania,WPRO,SLB,44299,13-04-21,15.66,44481,2,25.61,44565,-4,33.96,44662,11-04-22,3,39.31,44753,4,0.478,2.989334,0.852459155,"50,000",674993,"1,835,590",0.0741,2.7194,0.027239,75.79,940,1619155017,9.21,2398.77,3.379989161,214,2.330413773,2,3,5,1,2,3,5,1,2,2,5,NA
Somalia,Eastern Africa,Africa,AFRO,SOM,44303,17-04-21,1.94,44483,0,7.42,44577,4,11.56,44662,11-04-22,-1,15.12,44749,-4,0.099,-43.725,0.086650777,"700,000",15981300,"15,130,620",0.0438,0.9468,0.046264,54.446,520,9420431258,9.97,589.47,2.770458681,3045,3.483587297,2,1,5,0,2,2,5,0,1,1,5,NA
South Africa,Southern Africa,Africa,AFRO,ZAF,44246,19-02-21,12.86,44426,0,27.39,44516,0,33.36,44606,14-02-22,0,35.9,44696,0,0.601,-1.86781,0.772833882,0,58087055,"7,954,410",0,0.1369,0,33.144,560,3.8933E+11,11.59,6702.53,3.826238547,1203,3.080265627,2,3,5,0,2,3,5,0,1,1,5,NA
Sri Lanka,Southern Asia,Asia,SEARO,LKA,44225,29-01-21,37.71,44405,0,68.99,44495,0,75.22,44585,24-01-22,0,78.02,44676,1,0.427,11.98933,1,"5,000,000",21803000,"10,741,010",0.2293,0.4926,0.465506,81.415,780,89014978344,10.95,4082.69,3.610946836,218,2.338456494,2,3,5,0,2,2,5,NA,1,1,5,NA
Sudan,Northern Africa,Africa,EMRO,SDN,44291,05-04-21,1.38,44458,-13,6.66,44579,18,12.18,44651,31-03-22,0,14.19,44711,-30,0.103,5.70362,0.896955624,"250,000",43232093,"36,349,520",0.0058,0.8408,0.006878,65.064,625,32338079165,10.51,748.01,2.873907941,2349,3.370883017,2,2,5,0,2,2,5,0,1,1,5,NA
Syria,Western Asia,Asia,EMRO,SYR,44294,08-04-21,2.77,44468,-6,5.4,44551,-13,10.92,44660,09-04-22,6,12.42,44740,-4,0.027,-22.1535,0.440281751,"1,800,000",20098251,"8,920,540",0.0896,0.4438,0.201782,45.179,652,22600896343,10.35,1124.52,3.050967398,10035,4.001517377,2,2,5,0,2,2,5,NA,1,2,5,0
Tajikistan,Central Asia,Asia,EUR,TJK,44323,07-05-21,27.28,44507,4,45.44,44591,-2,52.07,44682,01-05-22,-1,53.08,44794,21,0.045,10.27505,0.971897063,"2,400,000",9337003,"10,383,600",0.257,1.1121,0.231134,72.691,702,8300813890,9.92,889.02,2.948913178,714,2.853698212,2,3,5,1,2,3,5,1,2,1,5,1
Thailand,South-eastern Asia,Asia,SEARO,THA,44257,02-03-21,32.11,44437,0,66.46,44527,0,74.66,44617,25-02-22,0,78.76,44707,0,0.178,10.28399,0.97204362,"3,400,000",71307763,"13,625,130",0.0477,0.1911,0.249539,49.308,800,5.43977E+11,11.74,7628.58,3.882443479,198,2.29666519,2,3,5,0,2,3,5,0,2,2,5,0
Timor-Leste,South-eastern Asia,Asia,SEARO,TLS,44300,14-04-21,36.97,44481,1,49.75,44572,2,57.75,44663,12-04-22,3,62.58,44754,4,0.51,2.275048,0.840749554,"100,000",1280438,"3,976,840",0.0781,3.1058,0.025146,69.053,860,2027034000,9.31,1583.08,3.199502479,250,2.397940009,2,3,5,0,2,3,5,NA,1,1,5,NA
Togo,Western Africa,Africa,AFRO,TGO,44279,24-03-21,5.03,44456,-3,15.44,44547,-2,17.61,44631,11-03-22,-8,23.65,44717,-12,0.209,-1.43924,0.779859617,"200,000",8243094,"3,659,300",0.0243,0.4439,0.054655,57.752,461,6992654019,9.84,848.3,2.928551789,561,2.748962861,2,2,5,0,2,2,5,NA,1,1,5,NA
Tunisia,Northern Africa,Africa,AFRO,TUN,44268,13-03-21,36.1,44449,1,50.41,44538,0,57.99,44628,08-03-22,0,58.1,44676,-42,0.633,9.989334,0.967213197,"2,100,000",12049314,"12,145,960",0.1743,1.008,0.172897,30.746,616,41905540184,10.62,3477.84,3.541309121,975,2.989004616,2,3,5,1,2,2,5,0,1,2,5,NA
Uganda,Eastern Africa,Africa,AFRO,UGA,44270,15-03-21,2.18,44440,-10,13.81,44539,-1,29.74,44629,09-03-22,-1,33.64,44717,-3,0.218,4.132191,0.871194506,"6,000,000",42949080,"63,762,580",0.1397,1.4846,0.094099,75.639,500,35348155095,10.55,823.02,2.915412886,3086,3.489395922,2,3,5,0,2,3,5,0,2,3,5,0
Tanzania,Eastern Africa,Africa,AFRO,TZA,44416,08-08-21,3.89,44582,-14,9.9,44682,-4,24.91,44780,07-08-22,4,40.29,44864,-2,0.34,2.417905,0.843091471,"7,600,000",59872579,"35,704,420",0.1269,0.5963,0.212859,65.5,510,61026731926,10.79,1050.93,3.021574518,2277,3.357363031,2,1,5,0,2,1,5,0,2,1,5,NA
Uruguay,South America,Americas,AMR,URY,44254,27-02-21,77.25,44434,0,80.3,44524,0,86.44,44614,22-02-22,0,87.54,44704,0,0.816,9.417905,0.957845513,0,3428409,"500,760",0,0.1461,0,4.574,165,62048585619,10.79,18098.36,4.25763926,0,0,2,3,5,0,2,1,5,NA,2,1,5,NA
Uzbekistan,Central Asia,Asia,EUR,UZB,44292,06-04-21,33.87,44473,1,52.15,44538,-24,54.04,44654,03-04-22,2,56.89,44738,-4,0.078,9.417905,0.957845513,"12,700,000",33580350,"33,617,399",0.3782,1.0011,0.377781,49.567,704,60283503705,10.78,1795.2,3.254113267,1462,3.164947373,2,3,5,1,2,3,4,1,2,3,4,1
Vanuatu,Melanesia,Oceania,WPRO,VUT,44350,03-06-21,29.42,44536,6,34.98,44620,0,43.22,44704,23-05-22,-6,43.87,44788,-12,0.649,3.417905,0.859484905,"100,000",304404,"384,510",0.3285,1.2632,0.260071,74.606,935,936526267.6,8.97,3076.59,3.488069608,154,2.187520721,2,2,5,0,2,2,5,0,2,2,5,0
Vietnam,South-eastern Asia,Asia,WPRO,VNM,44267,12-03-21,20.97,44447,0,75.26,44537,0,81.08,44627,07-03-22,0,86.23,44717,0,0.108,2.560762,0.845433388,"12,800,000",95776716,"156,000,000",0.1336,1.6288,0.0823,63.372,816,3.34365E+11,11.52,3491.09,3.54296122,1171,3.068556895,2,3,5,0,2,1,5,0,1,1,5,NA
Zambia,Eastern Africa,Africa,AFRO,ZMB,44304,18-04-21,4.03,44511,27,12.42,44619,45,14.14,44640,20-03-22,-24,37.67,44780,26,0.278,1.417905,0.826698036,"1,300,000",18380477,"20,384,760",0.0707,1.109,0.063773,55.928,551,23308667781,10.37,1268.12,3.103160674,1016,3.006893708,2,2,5,0,2,2,5,0,1,1,5,0
Zimbabwe,Eastern Africa,Africa,AFRO,ZWE,44248,21-02-21,13.92,44428,0,21.96,44518,0,26.51,44608,16-02-22,0,37.78,44698,0,0.201,-0.01067,0.803278785,"14,000,000",15354608,"14,265,000",0.9118,0.929,0.981423,67.79,552,21832234921,10.34,1421.87,3.152859462,985,2.99343623,2,3,5,1,2,3,5,1,2,2,5,1
